pest,quarantine_status,rank_entry,hv_entry,rank_establishment,hv_establishment,rank_invasion,hv_invasion,rank_impact,hv_impact
Neoleucinodes elegantalis,Other quarantine,24,0.076519267,20,0.352700607,30,0.01624753,16,0.199837244
Neonectria neomacrospora,Other non-quarantine,6,0.737464594,3,0.827497707,5,0.645904863,21,0.152340631
Non-European isolates of potato leafroll virus,Other quarantine,19,0.138222617,8,0.40493129,20,0.08287184,23,0.146766496
Non-European isolates of potato virus A,Other quarantine,23,0.068292112,6,0.705573989,22,0.042736429,13,0.262039095
Non-European isolates of potato virus M,Other quarantine,23,0.068292112,5,0.742543799,22,0.042736429,14,0.248989043
Non-European isolates of potato virus S,Other quarantine,22,0.097728675,6,0.705573989,22,0.042736429,14,0.248989043
Non-European isolates of potato virus V,Other quarantine,27,0.029060581,6,0.705573989,28,0.029305615,13,0.262039095
Non-European isolates of potato virus X,Other quarantine,22,0.097728675,5,0.742543799,21,0.048555267,13,0.262039095
Non-European isolates of potato virus Y,Other quarantine,15,0.199799178,5,0.742543799,16,0.145445891,13,0.262039095
Oemona hirta,Other quarantine,15,0.199799178,17,0.444134548,19,0.051875166,24,0.128602013
Oligonychus perditus,Other quarantine,29,0.022357727,24,0.161782953,41,0.003625073,36,0.04032673
Opogona sacchari,RNQP,10,0.290325809,8,0.40493129,10,0.239392052,31,0.057327926
Pagiocerus frontalis,Other non-quarantine,6,0.737464594,27,0.091946273,18,0.067972551,55,0.005340968
Pantoea stewartii subsp.  stewartii,Other quarantine,11,0.326262622,27,0.091946273,22,0.042736429,56,0.005376938
Parasaissetia nigra,Other non-quarantine,12,0.266502632,9,0.599838437,15,0.108020534,29,0.078944673
Pardalaspis cyanescens,Other quarantine,42,0.009465615,12,0.551698569,50,0.00088808,15,0.218177274
Peach mosaic virus,Other quarantine,48,0.005532952,28,0.048997175,60,0,52,0.005559993
Peach rosette mosaic virus,Other quarantine,39,0.01610916,6,0.705573989,36,0.008554209,40,0.026912189
Peach rosette phytoplasma,Other quarantine,47,0.005785601,23,0.183234528,60,0,48,0.016711994
Peach yellows phytoplasma,Other quarantine,40,0.012467579,6,0.705573989,40,0.004530649,35,0.039247818
Pepino mosaic virus,Emergency measures,6,0.737464594,3,0.827497707,6,0.625034059,15,0.218177274
Pepper mild mottle virus,Other non-quarantine,6,0.737464594,1,0.930983064,4,0.779190903,20,0.134267357
Pepper mild tigre virus,Other quarantine,55,0.000469615,20,0.352700607,60,0,20,0.134267357
Peronospora belbahrii,Other non-quarantine,1,0.985171117,7,0.681050022,4,0.779190903,19,0.184771932
Phialophora cinerescens,Other non-quarantine,18,0.142503749,18,0.444269944,23,0.056571311,51,0.016536163
Phoma andigena,Other quarantine,52,0.003807603,24,0.161782953,60,0,21,0.152340631
Phyllosticta solitaria,Other quarantine,29,0.022357727,19,0.368951604,36,0.008554209,28,0.088181152
Phymatotrichopsis omnivora,Other quarantine,16,0.17029895,31,0,60,0,57,0
Phytophthora kernoviae sp. nov.,Other non-quarantine,10,0.290325809,18,0.444269944,15,0.108020534,7,0.408306945
Phytophthora ramorum (EU isolates),Other non-quarantine,5,0.831558002,9,0.599838437,7,0.363068218,6,0.475537291
Phytophthora ramorum (non-EU isolates),Other quarantine,16,0.17029895,9,0.599838437,16,0.145445891,5,0.484011225
Phytoplasma pruni,RNQP,35,0.012289304,6,0.705573989,37,0.009794366,33,0.052836155
Phytoplasma prunorum,RNQP,23,0.068292112,20,0.352700607,26,0.041784318,47,0.016757489
Phytoplasma pyri,RNQP,23,0.068292112,14,0.317692347,25,0.051126318,40,0.026912189
Phytoplasma solani,RNQP,9,0.353318257,10,0.581944636,12,0.260571499,10,0.18735877
Phytoplasma ulmi,Other non-quarantine,28,0.039688921,9,0.599838437,28,0.029305615,13,0.262039095
Pissodes cibriani,Other quarantine,33,0.013912688,21,0.262780325,44,0.00156562,18,0.162460267
Pissodes fasciatus,Other quarantine,26,0.056074507,8,0.40493129,27,0.033297434,26,0.102467212
Pissodes nemorensis,Other quarantine,14,0.221569519,6,0.705573989,15,0.108020534,5,0.484011225
Pissodes nitidus,Other quarantine,24,0.076519267,13,0.526209707,27,0.033297434,15,0.218177274
Pissodes punctatus,Other quarantine,34,0.013001389,21,0.262780325,43,0.001961549,17,0.169988202
Pissodes strobi,Other quarantine,14,0.221569519,5,0.742543799,15,0.108020534,5,0.484011225
Pissodes terminalis,Other quarantine,16,0.17029895,12,0.551698569,18,0.067972551,16,0.199837244
Pissodes yunnanensis,Other quarantine,33,0.013912688,20,0.352700607,41,0.003625073,18,0.162460267
Pissodes zitacuarense,Other quarantine,33,0.013912688,21,0.262780325,45,0.001541274,17,0.169988202
Plasmopara halstedii,RNQP,7,0.529675259,2,0.886157341,7,0.363068218,37,0.040220175
Plum pox virus,RNQP,9,0.353318257,2,0.886157341,8,0.360627324,29,0.078944673
Polygraphus proximus,Other quarantine,18,0.142503749,9,0.599838437,22,0.042736429,4,0.640131408
Pomacea,Other quarantine,12,0.266502632,31,0,60,0,57,0
Popillia japonica,Priority,8,0.39570142,19,0.368951604,14,0.162089672,14,0.248989043
Potato black ringspot virus,Other quarantine,28,0.039688921,9,0.599838437,28,0.029305615,20,0.134267357
Potato spindle tuber viroid,RNQP,2,0.918897782,6,0.705573989,4,0.779190903,7,0.408306945
Potato virus T,Other quarantine,31,0.025379712,9,0.599838437,32,0.014197551,35,0.039247818
Premnotrypes spp.  (non-European),Other quarantine,30,0.031818534,10,0.581944636,32,0.014197551,12,0.314760356
Pseudocercospora pini-densiflorae,Other quarantine,28,0.039688921,27,0.091946273,42,0.003680345,20,0.134267357
Pseudomonas syringae pv. actinidiae,Emergency measures,23,0.068292112,19,0.368951604,27,0.033297434,51,0.016536163
Pseudopityophthorus minutissimus,Other quarantine,31,0.025379712,10,0.581944636,33,0.007517891,29,0.078944673
Pseudopityophthorus pruinosus,Other quarantine,34,0.013001389,20,0.352700607,45,0.001541274,30,0.06924495
Pterandrus rosa,Other quarantine,31,0.025379712,25,0.144089069,51,0.000625406,16,0.199837244
Puccinia horiana,RNQP,7,0.529675259,18,0.444269944,10,0.239392052,19,0.184771932
Puccinia pittieriana,Other quarantine,57,0,16,0.441297994,60,0,22,0.165026865
Radopholus similis,Other non-quarantine,7,0.529675259,18,0.444269944,9,0.336503343,26,0.102467212
Ralstonia pseudosolanacearum,Other quarantine,6,0.737464594,12,0.551698569,8,0.360627324,13,0.262039095
Ralstonia solanacearum,Other quarantine,5,0.831558002,7,0.681050022,5,0.645904863,8,0.383837189
Ralstonia syzygii subsp. Indonesiensis,Other quarantine,24,0.076519267,21,0.262780325,29,0.029030417,14,0.248989043
Raspberry leaf curl virus,Other quarantine,27,0.029060581,11,0.607432391,30,0.01624753,21,0.152340631
Rhacochlaena japonica,Other quarantine,44,0.004831871,21,0.262780325,60,0,57,0
Rhagoletis cingulata,Other non-quarantine,24,0.076519267,15,0.467050143,26,0.041784318,48,0.016711994
Rhagoletis completa,Other non-quarantine,27,0.029060581,26,0.122680743,39,0.007728808,46,0.016784667
Rhagoletis fausta,Other quarantine,28,0.039688921,7,0.681050022,30,0.01624753,39,0.039984359
Rhagoletis indifferens,Other quarantine,32,0.021770699,12,0.551698569,35,0.010428073,42,0.016932861
Rhagoletis mendax,Other quarantine,26,0.056074507,14,0.317692347,27,0.033297434,17,0.169988202
Rhagoletis pomonella,Priority,23,0.068292112,5,0.742543799,24,0.057353535,20,0.134267357
Rhagoletis ribicola,Other quarantine,25,0.065574627,11,0.607432391,26,0.041784318,27,0.097332883
Rhagoletis suavis,Other quarantine,31,0.025379712,26,0.122680743,44,0.00156562,46,0.016784667
Rhizoecus hibisci,Other quarantine,18,0.142503749,22,0.289056026,23,0.056571311,32,0.068841864
Saperda candida,Other quarantine,22,0.097728675,16,0.441297994,25,0.051126318,29,0.078944673
Scaphoideus luteolus,Other non-quarantine,53,0.001917169,14,0.317692347,58,1.71E-05,31,0.057327926
Scirtothrips citri,Other quarantine,28,0.039688921,20,0.352700607,37,0.009794366,40,0.026912189
Scirtothrips dorsalis,Other quarantine,8,0.39570142,7,0.681050022,8,0.360627324,20,0.134267357
Scolytus morawitzi,Other non-quarantine,20,0.107879338,8,0.40493129,21,0.048555267,34,0.043872451
Scrobipalpa ocellatella,Other non-quarantine,20,0.107879338,24,0.161782953,28,0.029305615,29,0.078944673
Septoria lycopersici var. malagutii,Other quarantine,29,0.022357727,20,0.352700607,34,0.011659839,19,0.184771932
Sphaeropsis sapinea,Other non-quarantine,1,0.985171117,1,0.930983064,1,0.991156148,5,0.484011225
Sphaerulina musiva,Other quarantine,28,0.039688921,14,0.317692347,31,0.014126919,23,0.146766496
Spodoptera eridania,Other quarantine,6,0.737464594,16,0.441297994,9,0.336503343,27,0.097332883
Spodoptera frugiperda,Priority,6,0.737464594,15,0.467050143,9,0.336503343,27,0.097332883
Spodoptera littoralis,Other non-quarantine,2,0.918897782,16,0.441297994,8,0.360627324,27,0.097332883
Spodoptera litura,Other quarantine,2,0.918897782,16,0.441297994,8,0.360627324,27,0.097332883
Squash leaf curl virus,Other quarantine,30,0.031818534,17,0.444134548,32,0.014197551,35,0.039247818
Squash vein yellowing virus,Other quarantine,50,0.005280894,18,0.444269944,56,0.000236671,40,0.026912189
Stagonosporopsis chrysanthemi,Other non-quarantine,13,0.270037616,7,0.681050022,14,0.162089672,41,0.017080602
Stegophora ulmea,Other quarantine,34,0.013001389,6,0.705573989,34,0.011659839,35,0.039247818
Strauzia longipennis,Other non-quarantine,26,0.056074507,14,0.317692347,28,0.029305615,39,0.039984359
Strawberry crinkle virus,RNQP,8,0.39570142,21,0.262780325,15,0.108020534,29,0.078944673
Strawberry latent C virus,Other non-quarantine,32,0.021770699,22,0.289056026,42,0.003680345,30,0.06924495
Strawberry mild yellow edge virus,RNQP,9,0.353318257,22,0.289056026,16,0.145445891,33,0.052836155
Strawberry vein banding virus,RNQP,11,0.326262622,22,0.289056026,18,0.067972551,30,0.06924495
Strawberry witches' broom phytoplasma,Other quarantine,20,0.107879338,19,0.368951604,26,0.041784318,27,0.097332883
Synchytrium endobioticum,Other quarantine,12,0.266502632,3,0.827497707,12,0.260571499,8,0.383837189
Tecia solanivora,Other quarantine,31,0.025379712,31,0,60,0,57,0
Tetropium gracilicorne,Other non-quarantine,21,0.109024157,3,0.827497707,18,0.067972551,8,0.383837189
Thaumatotibia leucotreta,Other quarantine,10,0.290325809,13,0.526209707,13,0.189545914,24,0.128602013
Thecaphora solani,Other quarantine,26,0.056074507,20,0.352700607,31,0.014126919,9,0.329198163
Thrips palmi,Other quarantine,7,0.529675259,6,0.705573989,8,0.360627324,16,0.199837244
Thrips setosus,Other non-quarantine,9,0.353318257,5,0.742543799,9,0.336503343,20,0.134267357
Tilletia indica,Other quarantine,17,0.114355505,9,0.599838437,19,0.051875166,19,0.184771932
Tobacco ringspot virus,Other quarantine,6,0.737464594,23,0.183234528,13,0.189545914,38,0.040125707
Tobacco streak virus black raspberry latent strain,Other quarantine,31,0.025379712,9,0.599838437,31,0.014126919,54,0.005426822
Tomato apical stunt viroid,Other non-quarantine,3,0.888073302,5,0.742543799,5,0.645904863,11,0.348161749
Tomato brown rugose fruit virus,Emergency measures,5,0.831558002,1,0.930983064,4,0.779190903,11,0.348161749
Tomato chlorotic dwarf viroid,Other non-quarantine,3,0.888073302,8,0.40493129,6,0.625034059,11,0.348161749
Tomato chocolate virus,Other quarantine,20,0.107879338,5,0.742543799,20,0.08287184,24,0.128602013
Tomato Leaf Curl New Delhi Virus,Other quarantine,30,0.031818534,14,0.317692347,31,0.014126919,11,0.348161749
Tomato marchitez virus,Other quarantine,20,0.107879338,5,0.742543799,20,0.08287184,24,0.128602013
Tomato mild mottle virus,Other quarantine,54,0.000738497,15,0.467050143,59,2.86E-06,24,0.128602013
Tomato mottle bigeminivirus,Other quarantine,35,0.012289304,16,0.441297994,43,0.001961549,17,0.169988202
Tomato ringspot virus,Other quarantine,11,0.326262622,17,0.444134548,15,0.108020534,18,0.162460267
Tomato spotted wilt virus,RNQP,3,0.888073302,6,0.705573989,4,0.779190903,13,0.262039095
Tomato torrado virus,Other non-quarantine,13,0.270037616,5,0.742543799,13,0.189545914,24,0.128602013
Tomato yellow leaf curl virus,RNQP,25,0.065574627,12,0.551698569,27,0.033297434,14,0.248989043
Venturia nashicola,Other quarantine,46,0.005805279,26,0.122680743,60,0,44,0.016881705
Viteus vitifoliae,RNQP,8,0.39570142,6,0.705573989,7,0.363068218,46,0.016784667
Xanthomonas arboricola pv. pruni,RNQP,7,0.529675259,14,0.317692347,8,0.360627324,45,0.016759998
Xanthomonas axonopodis pv. allii,RNQP,5,0.831558002,12,0.551698569,7,0.363068218,40,0.026912189
Xanthomonas axonopodis pv. phaseoli,Other non-quarantine,8,0.39570142,23,0.183234528,16,0.145445891,31,0.057327926
Xanthomonas euvesicatoria,RNQP,18,0.142503749,5,0.742543799,18,0.067972551,14,0.248989043
Xanthomonas fragariae,RNQP,6,0.737464594,10,0.581944636,8,0.360627324,19,0.184771932
Xanthomonas gardneri,RNQP,22,0.097728675,5,0.742543799,22,0.042736429,14,0.248989043
Xanthomonas perforans,RNQP,21,0.109024157,5,0.742543799,21,0.048555267,14,0.248989043
Xanthomonas vesicatoria,RNQP,15,0.199799178,5,0.742543799,16,0.145445891,14,0.248989043
Xiphinema americanum,Other quarantine,13,0.270037616,24,0.161782953,20,0.08287184,26,0.102467212
Xiphinema bricolense,Other quarantine,13,0.270037616,24,0.161782953,19,0.051875166,27,0.097332883
Xiphinema californicum,Other quarantine,13,0.270037616,23,0.183234528,19,0.051875166,25,0.111335013
Xiphinema inaequale,Other quarantine,13,0.270037616,22,0.289056026,20,0.08287184,26,0.102467212
Xiphinema intermedium,Other quarantine,15,0.199799178,23,0.183234528,21,0.048555267,25,0.111335013
Xiphinema rivesi (non-EU populations),Other quarantine,13,0.270037616,23,0.183234528,20,0.08287184,27,0.097332883
Xiphinema tarjanense,Other quarantine,18,0.142503749,23,0.183234528,27,0.033297434,25,0.111335013
Xylella fastidiosa,Priority,7,0.529675259,28,0.048997175,21,0.048555267,33,0.052836155
Xylophilus ampelinus,RNQP,26,0.056074507,23,0.183234528,33,0.007517891,44,0.016881705
Xylosandrus crassiusculus,Other non-quarantine,11,0.326262622,20,0.352700607,17,0.086704249,20,0.134267357
Xyphon fulgidum,Other quarantine,44,0.004831871,29,0.043175871,60,0,31,0.057327926
Callidiellum villosulum,Other non-quarantine,23,0.068292112,28,0.048997175,33,0.007517891,53,0.005465422
Thekopsora minima,Other non-quarantine,6,0.737464594,2,0.886157341,5,0.645904863,27,0.097332883
